ID,ID Vec.,De,Vers,Solution,Heure Début,Heure Fin,Durée,Méthode Terrain,Longueur (m),RMS (m),Prec. Horiz. (m),Prec. Vert. (m),Satellites,Nb Epoques
1,PV163,8,CTB158,Fixe,20/05/2017 12:33:20,20/05/2017 12:33:20,01:58:05,Statique ou FastStatic,3 054.570,0.004,0.004,0.020,9,1 353
2,PV165,8,S3,Fixe,20/05/2017 12:31:15,20/05/2017 12:31:15,00:34:15,Statique ou FastStatic,6 640.700,0.006,0.006,0.011,16,136
3,PV101,BT10,CTB160,Fixe,20/05/2017 12:36:35,20/05/2017 12:36:35,01:42:25,Statique ou FastStatic,4 272.775,0.005,0.003,0.015,19,1 228
4,PV102,BT10,CTB162,Fixe,20/05/2017 12:37:15,20/05/2017 12:37:15,03:13:15,Statique ou FastStatic,4 662.639,0.005,0.002,0.011,19,2 318
5,PV80,BT11,BT10,Fixe,19/05/2017 11:25:25,19/05/2017 11:25:25,01:17:15,Statique ou FastStatic,3 443.065,0.003,0.003,0.016,19,926
6,PV81,BT11,CTB160,Fixe,19/05/2017 17:10:20,19/05/2017 17:10:20,00:45:20,Statique ou FastStatic,3 902.987,0.007,0.004,0.006,16,543
7,PV84,BT11,GPS4,Fixe,19/05/2017 14:20:00,19/05/2017 14:20:00,04:08:15,Statique ou FastStatic,3 731.355,0.004,0.002,0.009,18,992
8,PV93,BT11,GPS12,Fixe,19/05/2017 11:44:10,19/05/2017 11:44:10,01:56:10,Statique ou FastStatic,5 698.398,0.004,0.003,0.016,19,1 393
9,PV162,CTB26,8,Fixe,20/05/2017 12:44:45,20/05/2017 12:44:45,02:43:30,Statique ou FastStatic,4 031.085,0.004,0.003,0.014,10,1 961
10,PV127,CTB26,CTB158,Fixe,20/05/2017 12:33:20,20/05/2017 12:33:20,01:58:05,Statique ou FastStatic,3 064.045,0.005,0.004,0.019,9,1 415
11,PV130,CTB26,CTB160,Fixe,20/05/2017 12:36:35,20/05/2017 12:36:35,01:42:25,Statique ou FastStatic,6 086.251,0.005,0.005,0.022,10,1 228
12,PV85,CTB26,CTB160,Fixe,19/05/2017 17:11:05,19/05/2017 17:11:05,00:46:05,Statique ou FastStatic,6 086.266,0.007,0.006,0.009,15,183
13,PV160,CTB27,BT11,Fixe,19/05/2017 15:15:50,19/05/2017 15:15:50,05:27:50,Statique ou FastStatic,3 512.905,0.004,0.002,0.007,18,1 310
14,PV158,CTB27,BT11,Fixe,19/05/2017 17:10:20,19/05/2017 17:10:20,01:26:55,Statique ou FastStatic,3 512.916,0.006,0.003,0.009,16,346
15,PV159,CTB27,BT11,Fixe,19/05/2017 15:41:00,19/05/2017 15:41:00,00:02:20,Statique ou FastStatic,3 512.918,0.004,0.010,0.011,15,8
16,PV154,CTB27,CTB26,Fixe,19/05/2017 17:10:45,19/05/2017 17:10:45,02:25:45,Statique ou FastStatic,4 604.663,0.007,0.003,0.011,16,582
