ID,ID Vec.,De,Vers,Heure Début,Heure Fin,Durée,Méthode Terrain,Solution,Longueur (m),RMS (m),Prec. Horiz. (m),Prec. Vert. (m),Satellites,Nb Epoques
1,PV163,8,CTB158,20/05/2017 12:33:20,20/05/2017 12:33:20,01:58:05,Statique ou FastStatic,Fixe,3 054.570,0.010,0.000,0.010,18,1 416
2,PV165,8,S3,20/05/2017 12:31:15,20/05/2017 12:31:15,00:34:15,Statique ou FastStatic,Fixe,6 640.700,0.010,0.010,0.010,16,136
3,PV102,BT10,CTB162,20/05/2017 12:37:15,20/05/2017 12:37:15,03:13:15,Statique ou FastStatic,Fixe,4 662.630,0.000,0.000,0.010,19,2 318
4,PV172,BT10,KOUDIAT SIDI BAZA,20/05/2017 12:39:00,20/05/2017 12:39:00,02:08:15,Statique ou FastStatic,Fixe,2 468.250,0.000,0.000,0.010,19,1 538
5,PV80,BT11,BT10,19/05/2017 11:25:25,19/05/2017 11:25:25,01:17:15,Statique ou FastStatic,Fixe,3 443.070,0.000,0.000,0.020,19,926
6,PV81,BT11,CTB160,19/05/2017 17:10:20,19/05/2017 17:10:20,00:45:20,Statique ou FastStatic,Fixe,3 902.990,0.010,0.000,0.010,16,543
7,PV84,BT11,GPS4,19/05/2017 14:20:00,19/05/2017 14:20:00,04:08:15,Statique ou FastStatic,Fixe,3 731.360,0.000,0.000,0.010,18,992
8,PV191,BT11,KOUDIAT SIDI BAZA,19/05/2017 17:10:20,19/05/2017 17:10:20,01:26:55,Statique ou FastStatic,Fixe,2 703.890,0.010,0.000,0.010,16,1 042
9,PV193,BT11,KOUDIAT SIDI BAZA,19/05/2017 15:15:50,19/05/2017 15:15:50,00:32:05,Statique ou FastStatic,Fixe,2 703.880,0.000,0.000,0.010,15,384
10,PV183,BT11,MEKOUSSA,19/05/2017 11:53:30,19/05/2017 11:53:30,02:05:30,Statique ou FastStatic,Fixe,2 995.020,0.000,0.000,0.010,18,1 505
11,PV162,CTB26,8,20/05/2017 12:44:45,20/05/2017 12:44:45,02:43:30,Statique ou FastStatic,Fixe,4 031.080,0.000,0.000,0.010,10,1 961
12,PV127,CTB26,CTB158,20/05/2017 12:33:20,20/05/2017 12:33:20,01:58:05,Statique ou FastStatic,Fixe,3 064.040,0.000,0.000,0.020,9,1 415
13,PV130,CTB26,CTB160,20/05/2017 12:36:35,20/05/2017 12:36:35,01:42:25,Statique ou FastStatic,Fixe,6 086.250,0.000,0.000,0.020,10,1 228
