ID,Nom Point,X(m),Y(m),Référence,Nature Matérialisation ,Nature Signalisation
1,8,353 108.16,146 858.01,IFE Foum Jemaa,Borne GPS,Aucune
2,BT10,343 717.71,152 811.69,IFE Foum Jemaa,Borne GPS,Aucune
3,BT11,347 038.65,153 716.65,IFE Foum Jemaa,Borne GPS,Aucune
4,CTB26,352 759.85,150 872.64,IFE Foum Jemaa,Borne GPS,Aucune
5,CTB27,350 375.71,154 806.54,IFE Foum Jemaa,Borne GPS,Aucune
6,CTB157,358 034.45,152 765.66,IFE Foum Jemaa,Borne GPS,Aucune
7,CTB158,350 642.34,148 659.34,IFE Foum Jemaa,Borne GPS,Aucune
8,CTB160,346 768.17,149 825.68,IFE Foum Jemaa,Borne GPS,Aucune
9,CTB162,342 058.78,148 455.73,IFE Foum Jemaa,Borne GPS,Aucune
10,GPS1,353 472.07,156 983.92,IFE Foum Jemaa,Borne GPS,Aucune
11,GPS2,351 089.88,160 456.96,IFE Foum Jemaa,Borne GPS,Aucune
12,GPS4,349 621.95,156 407.71,IFE Foum Jemaa,Borne GPS,Aucune
13,GPS5,356 090.11,157 601.79,IFE Foum Jemaa,Borne GPS,Aucune
14,GPS12,344 368.39,158 749.02,IFE Foum Jemaa,Borne GPS,Aucune
15,S3,346 480.84,146 482.88,IFE Foum Jemaa,Borne GPS,Aucune
