C,C,C,C,C,C,C,C,C,C
,,,Coordonnées Fixes,Coordonnées Fixes,Coordonnées Calculées,Coordonnées Calculées,Écarts,Écarts,Écarts
ID,Nom Point Fixe,Nom Point Calculé,X(m),Y(m),X(m),Y(m),ΔX(m),ΔY(m),ΔD(m)
1,SY2,SY2,333 929.82,120 469.08,333 929.82,120 469.08,--,--,--
2,SY2,SY5,340 336.12,124 630.44,340 335.97,124 630.28,0.15,0.16,0.22
3,SY2,SY8,341 969.59,119 956.67,341 969.58,119 956.65,0.01,0.02,0.02
4,SY5,SY2,333 929.82,120 469.08,333 929.97,120 469.24,-0.15,-0.16,0.22
5,SY5,SY5,340 336.12,124 630.44,340 336.12,124 630.44,--,--,--
6,SY5,SY8,341 969.59,119 956.67,341 969.73,119 956.80,-0.14,-0.13,0.19
7,SY8,SY2,333 929.82,120 469.08,333 929.83,120 469.10,-0.01,-0.02,0.02
8,SY8,SY5,340 336.12,124 630.44,340 335.98,124 630.31,0.14,0.13,0.19
9,SY8,SY8,341 969.59,119 956.67,341 969.59,119 956.67,--,--,--
