C,L,C,C,C,C
ID,Nom Point,X (m),σx (m),Y (m),σy (m)
1,Amandier1,340 064.35,0.11,121 750.31,0.13
2,B1Rf,340 083.69,0.09,121 695.12,0.09
3,B1Rf-R57031,340 135.07,0.09,121 648.73,0.09
4,B1Rf-R57517,340 062.49,0.09,121 754.49,0.09
5,B2Rf,340 119.30,0.09,121 646.53,0.09
6,B2Rf-R57517,340 068.67,0.10,121 742.96,0.12
7,B2Rf-R58182,340 096.80,0.09,121 705.97,0.09
8,B39853,340 114.75,0.10,121 661.26,0.10
9,cour1,340 100.83,0.09,121 678.79,0.10
10,cour2,340 095.47,0.09,121 686.09,0.12
11,se1,340 095.32,0.08,121 719.19,0.09
12,se10,340 060.57,0.21,121 743.50,0.20
13,se11,340 055.91,0.17,121 750.40,0.19
14,se12,340 052.38,0.24,121 754.60,0.18
15,se13,340 050.98,0.18,121 756.19,0.15
16,se2,340 091.53,0.08,121 719.39,0.09
17,se3,340 082.62,0.08,121 720.30,0.09
18,se4,340 077.87,0.09,121 720.03,0.10
19,se5,340 074.83,0.09,121 719.56,0.11
20,se6,340 072.31,0.09,121 718.77,0.11
21,se7,340 069.86,0.09,121 717.70,0.14
22,se8,340 073.38,0.09,121 723.97,0.13
23,se9,340 064.83,0.24,121 738.66,0.38
24,SY2,333 929.82,FIXE,120 469.08,FIXE
25,SY5,340 336.12,FIXE,124 630.44,FIXE
26,SY8,341 969.59,FIXE,119 956.67,FIXE
