C,L,C,C,C,C
ID,Nom Point,X (m),σx (m),Y (m),σy (m)
1,Amandier1,340 064.43,0.04,121 750.34,0.05
2,B1Rf,340 083.77,0.04,121 695.14,0.04
3,B1Rf-R57031,340 135.15,0.04,121 648.76,0.04
4,B1Rf-R57517,340 062.57,0.04,121 754.51,0.04
5,B2Rf,340 119.38,0.04,121 646.56,0.04
6,B2Rf-R57517,340 068.76,0.04,121 742.98,0.05
7,B2Rf-R58182,340 096.88,0.04,121 706.00,0.04
8,B39853,340 114.82,0.04,121 661.28,0.04
9,cour1,340 100.90,0.04,121 678.82,0.04
10,cour2,340 095.55,0.04,121 686.12,0.05
11,se1,340 095.40,0.03,121 719.22,0.04
12,se10,340 060.64,0.08,121 743.52,0.08
13,se11,340 055.98,0.07,121 750.41,0.07
14,se12,340 052.47,0.09,121 754.63,0.07
15,se13,340 051.08,0.07,121 756.22,0.06
16,se2,340 091.60,0.03,121 719.42,0.03
17,se3,340 082.70,0.03,121 720.32,0.04
18,se4,340 077.94,0.04,121 720.06,0.04
19,se5,340 074.90,0.04,121 719.59,0.04
20,se6,340 072.39,0.03,121 718.80,0.05
21,se7,340 069.95,0.04,121 717.73,0.06
22,se8,340 073.47,0.04,121 724.00,0.05
23,se9,340 064.91,0.09,121 738.68,0.15
24,SY2,333 929.95,0.03,120 469.22,0.03
25,SY5,340 336.10,0.01,124 630.42,0.01
26,SY8,341 969.70,0.01,119 956.78,0.01
