C,L,C,C,C,C
ID,Nom Point,X (m),σx (m),Y (m),σy (m)
1,Amandier1,340 064.45,0.05,121 750.36,0.05
2,B1Rf,340 083.79,0.04,121 695.17,0.04
3,B1Rf-R57031,340 135.17,0.04,121 648.78,0.04
4,B1Rf-R57517,340 062.59,0.04,121 754.53,0.04
5,B2Rf,340 119.40,0.04,121 646.58,0.04
6,B2Rf-R57517,340 068.78,0.04,121 743.01,0.05
7,B2Rf-R58182,340 096.90,0.04,121 706.02,0.04
8,B39853,340 114.84,0.04,121 661.31,0.04
9,cour1,340 100.92,0.04,121 678.84,0.04
10,cour2,340 095.57,0.04,121 686.14,0.05
11,se1,340 095.42,0.03,121 719.24,0.04
12,se10,340 060.66,0.09,121 743.55,0.08
13,se11,340 056.00,0.07,121 750.43,0.08
14,se12,340 052.49,0.10,121 754.65,0.07
15,se13,340 051.10,0.07,121 756.24,0.06
16,se2,340 091.62,0.03,121 719.44,0.03
17,se3,340 082.72,0.03,121 720.35,0.04
18,se4,340 077.96,0.04,121 720.08,0.04
19,se5,340 074.92,0.04,121 719.61,0.04
20,se6,340 072.41,0.03,121 718.82,0.05
21,se7,340 069.98,0.04,121 717.75,0.06
22,se8,340 073.49,0.04,121 724.02,0.05
23,se9,340 064.93,0.10,121 738.70,0.15
24,SY2,333 929.97,0.03,120 469.24,0.03
25,SY5,340 336.12,FIXE,124 630.44,FIXE
26,SY8,341 969.73,0.01,119 956.80,0.01
