C,C,C,C,C,C,C
ID,Nom Point Fixe,Nom Point Calculé,X(m),σX(m),Y(m),σY(m)
1,SY2,Amandier1,340 064.30,0.05,121 750.20,0.06
2,SY2,B1Rf,340 083.64,0.05,121 695.01,0.05
3,SY2,B1Rf-R57031,340 135.02,0.05,121 648.63,0.04
4,SY2,B1Rf-R57517,340 062.44,0.05,121 754.38,0.05
5,SY2,B2Rf,340 119.25,0.05,121 646.42,0.05
6,SY2,B2Rf-R57517,340 068.63,0.05,121 742.85,0.06
7,SY2,B2Rf-R58182,340 096.75,0.05,121 705.86,0.05
8,SY2,B39853,340 114.69,0.05,121 661.15,0.05
9,SY2,cour1,340 100.77,0.05,121 678.69,0.05
10,SY2,cour2,340 095.42,0.05,121 685.98,0.05
11,SY2,se1,340 095.27,0.04,121 719.08,0.05
12,SY2,se10,340 060.51,0.09,121 743.39,0.09
13,SY2,se11,340 055.85,0.07,121 750.27,0.08
14,SY2,se12,340 052.34,0.10,121 754.49,0.08
15,SY2,se13,340 050.95,0.08,121 756.09,0.07
16,SY2,se2,340 091.48,0.04,121 719.28,0.04
17,SY2,se3,340 082.57,0.04,121 720.19,0.05
18,SY2,se4,340 077.81,0.05,121 719.92,0.05
19,SY2,se5,340 074.78,0.05,121 719.45,0.05
20,SY2,se6,340 072.26,0.05,121 718.66,0.05
21,SY2,se7,340 069.83,0.05,121 717.59,0.06
22,SY2,se8,340 073.35,0.05,121 723.86,0.06
23,SY2,se9,340 064.78,0.10,121 738.54,0.15
24,SY2,SY2,333 929.82,FIXE,120 469.08,FIXE
25,SY2,SY5,340 335.97,0.03,124 630.28,0.03
26,SY2,SY8,341 969.58,0.03,119 956.65,0.03
27,SY5,Amandier1,340 064.45,0.05,121 750.36,0.05
28,SY5,B1Rf,340 083.79,0.04,121 695.17,0.04
29,SY5,B1Rf-R57031,340 135.17,0.04,121 648.78,0.04
30,SY5,B1Rf-R57517,340 062.59,0.04,121 754.53,0.04
31,SY5,B2Rf,340 119.40,0.04,121 646.58,0.04
32,SY5,B2Rf-R57517,340 068.78,0.04,121 743.01,0.05
33,SY5,B2Rf-R58182,340 096.90,0.04,121 706.02,0.04
34,SY5,B39853,340 114.84,0.04,121 661.31,0.04
35,SY5,cour1,340 100.92,0.04,121 678.84,0.04
36,SY5,cour2,340 095.57,0.04,121 686.14,0.05
37,SY5,se1,340 095.42,0.03,121 719.24,0.04
38,SY5,se10,340 060.66,0.09,121 743.55,0.08
39,SY5,se11,340 056.00,0.07,121 750.43,0.08
40,SY5,se12,340 052.49,0.10,121 754.65,0.07
41,SY5,se13,340 051.10,0.07,121 756.24,0.06
42,SY5,se2,340 091.62,0.03,121 719.44,0.03
43,SY5,se3,340 082.72,0.03,121 720.35,0.04
44,SY5,se4,340 077.96,0.04,121 720.08,0.04
45,SY5,se5,340 074.92,0.04,121 719.61,0.04
46,SY5,se6,340 072.41,0.03,121 718.82,0.05
47,SY5,se7,340 069.98,0.04,121 717.75,0.06
48,SY5,se8,340 073.49,0.04,121 724.02,0.05
49,SY5,se9,340 064.93,0.10,121 738.70,0.15
50,SY5,SY2,333 929.97,0.03,120 469.24,0.03
51,SY5,SY5,340 336.12,FIXE,124 630.44,FIXE
52,SY5,SY8,341 969.73,0.01,119 956.80,0.01
53,SY8,Amandier1,340 064.31,0.05,121 750.23,0.05
54,SY8,B1Rf,340 083.65,0.04,121 695.03,0.04
55,SY8,B1Rf-R57031,340 135.03,0.04,121 648.65,0.04
56,SY8,B1Rf-R57517,340 062.46,0.04,121 754.40,0.04
57,SY8,B2Rf,340 119.27,0.04,121 646.45,0.04
58,SY8,B2Rf-R57517,340 068.64,0.04,121 742.87,0.05
59,SY8,B2Rf-R58182,340 096.76,0.04,121 705.89,0.04
60,SY8,B39853,340 114.70,0.04,121 661.17,0.04
61,SY8,cour1,340 100.79,0.04,121 678.71,0.04
62,SY8,cour2,340 095.43,0.04,121 686.01,0.05
63,SY8,se1,340 095.29,0.03,121 719.11,0.04
64,SY8,se10,340 060.53,0.09,121 743.41,0.08
65,SY8,se11,340 055.87,0.07,121 750.30,0.08
66,SY8,se12,340 052.35,0.10,121 754.52,0.07
67,SY8,se13,340 050.96,0.07,121 756.11,0.06
68,SY8,se2,340 091.49,0.03,121 719.31,0.03
69,SY8,se3,340 082.58,0.03,121 720.21,0.04
70,SY8,se4,340 077.83,0.04,121 719.95,0.04
71,SY8,se5,340 074.79,0.04,121 719.47,0.04
72,SY8,se6,340 072.28,0.03,121 718.69,0.05
73,SY8,se7,340 069.84,0.04,121 717.62,0.06
74,SY8,se8,340 073.36,0.04,121 723.89,0.05
75,SY8,se9,340 064.80,0.10,121 738.56,0.15
76,SY8,SY2,333 929.83,0.03,120 469.10,0.03
77,SY8,SY5,340 335.98,0.01,124 630.31,0.01
78,SY8,SY8,341 969.59,FIXE,119 956.67,FIXE
