c,c,c,c,C,C,C,C,C,C,C,c,c
ID,ID Boucle,Nom Boucle,Longueur 3D(m),ΔX(m),ΔY(m),ΔZ(m),ΔH(m),ΔV(m),ppm,Δ3D(m),Tolérance(m),Tolérable
1,PV698-PV729-PV685,SY8-se2-SY5,10 463.85,-0.04,0.03,0.13,0.13,0.03,13.21,0.14,0.10,non
2,PV697-PV728-PV685,SY8-se1-SY5,10 460.86,-0.05,0.02,0.12,0.13,0.02,12.59,0.13,0.10,non
3,PV699-PV730-PV685,SY8-se3-SY5,10 470.75,-0.04,0.03,0.12,0.13,0.02,12.36,0.13,0.10,non
4,PV695-PV726-PV685,SY8-cour2-SY5,10 471.39,-0.08,0.03,0.09,0.12,-0.02,11.89,0.12,0.10,non
5,PV700-PV731-PV685,SY8-se4-SY5,10 474.68,-0.05,0.03,0.09,0.10,0.00,9.97,0.10,0.10,oui
6,PV701-PV732-PV685,SY8-se5-SY5,10 477.30,-0.02,0.02,0.10,0.09,0.03,9.38,0.10,0.10,oui
7,PV694-PV725-PV685,SY8-cour1-SY5,10 469.40,-0.05,0.04,0.07,0.09,-0.01,8.75,0.09,0.10,oui
8,PV710-PV741-PV685,SY8-se11-SY5,10 482.73,-0.14,0.10,-0.09,0.09,-0.18,18.92,0.20,0.10,non
9,PV702-PV733-PV685,SY8-se6-SY5,10 479.59,0.00,0.02,0.09,0.08,0.05,9.20,0.10,0.10,oui
10,PV689-PV720-PV685,SY8-B2Rf-R58182-SY5,10 463.87,-0.01,0.02,0.08,0.07,0.03,7.78,0.08,0.10,oui
11,PV713-PV744-PV685,SY8-se12-SY5,10 484.31,-0.08,0.07,0.00,0.07,-0.08,10.12,0.11,0.10,non
12,PV708-PV739-PV685,SY8-se10-SY5,10 481.11,-0.14,0.09,-0.12,0.07,-0.19,19.44,0.20,0.10,non
13,PV693-PV724-PV685,SY8-B39853-SY5,10 463.82,-0.01,0.02,0.08,0.07,0.03,7.45,0.08,0.10,oui
14,PV714-PV745-PV685,SY8-se13-SY5,10 484.95,-0.07,0.06,0.00,0.07,-0.07,9.38,0.10,0.10,oui
15,PV687-PV718-PV685,SY8-B1Rf-R57517-SY5,10 476.11,-0.02,0.02,0.06,0.07,0.02,6.58,0.07,0.10,oui
16,PV690-PV721-PV685,SY8-B1Rf-SY5,10 478.00,-0.01,0.03,0.06,0.07,0.01,6.47,0.07,0.10,oui
17,PV692-PV723-PV685,SY8-B1Rf-R57031-SY5,10 451.51,-0.04,0.06,0.01,0.06,-0.03,6.54,0.07,0.10,oui
18,PV691-PV722-PV685,SY8-B2Rf-SY5,10 464.89,-0.02,0.06,0.00,0.06,-0.02,6.09,0.06,0.10,oui
19,PV715-PV746-PV685,SY8-Amandier1-SY5,10 475.86,-0.34,0.05,-0.27,0.05,-0.43,41.45,0.43,0.10,non
20,PV706-PV737-PV685,SY8-se9-SY5,10 479.21,-0.06,0.05,-0.02,0.04,-0.07,7.95,0.08,0.10,oui
21,PV688-PV719-PV685,SY8-B2Rf-R57517-SY5,10 474.68,-0.01,0.05,-0.01,0.04,-0.01,4.39,0.05,0.10,oui
22,PV703-PV734-PV685,SY8-se7-SY5,10 481.90,-0.03,0.02,0.02,0.04,-0.01,3.96,0.04,0.10,oui
23,PV704-PV735-PV685,SY8-se8-SY5,10 476.97,-0.04,0.03,0.00,0.03,-0.03,4.63,0.05,0.10,oui
24,PV686-PV685-PV684,SY2-SY8-SY5,20 658.20,0.02,0.00,0.01,0.00,0.03,1.25,0.03,0.21,oui
