c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
ID,ID Vec.,De,Vers,Solution,Heure Début,Heure Fin,Durée,Méthode Terrain,Longueur (m),RMS (m),Prec. Horiz. (m),Prec. Vert. (m),Satellites,Nb Epoques
1,PV746,SY5,Amandier1,Fixe,04/11/2022 16:38:47,04/11/2022 16:38:47,00:03:55,Arrêt et marche,2 894.230,0.370,0.010,0.020,16,236
2,PV721,SY5,B1Rf,Fixe,04/11/2022 14:38:10,04/11/2022 14:38:10,00:03:03,Arrêt et marche,2 947.250,0.370,0.010,0.020,15,184
3,PV723,SY5,B1Rf-R57031,Fixe,04/11/2022 15:00:38,04/11/2022 15:00:38,00:03:08,Arrêt et marche,2 989.470,0.370,0.010,0.020,15,189
4,PV718,SY5,B1Rf-R57517,Fixe,04/11/2022 14:21:03,04/11/2022 14:21:03,00:03:03,Arrêt et marche,2 890.310,0.370,0.010,0.020,14,184
5,PV722,SY5,B2Rf,Fixe,04/11/2022 14:49:29,04/11/2022 14:49:29,00:03:04,Arrêt et marche,2 992.760,0.370,0.010,0.020,14,185
6,PV719,SY5,B2Rf-R57517,Fixe,04/11/2022 14:26:07,04/11/2022 14:26:07,00:03:04,Arrêt et marche,2 901.110,0.370,0.030,0.030,15,185
7,PV720,SY5,B2Rf-R58182,Fixe,04/11/2022 14:33:14,04/11/2022 14:33:14,00:03:02,Arrêt et marche,2 935.360,0.370,0.010,0.020,15,183
8,PV724,SY5,B39853,Fixe,04/11/2022 15:08:34,04/11/2022 15:08:34,00:03:05,Arrêt et marche,2 978.440,0.370,0.010,0.020,14,186
9,PV725,SY5,cour1,Fixe,04/11/2022 15:18:41,04/11/2022 15:18:41,00:03:11,Arrêt et marche,2 962.060,0.370,0.010,0.020,14,192
10,PV726,SY5,cour2,Fixe,04/11/2022 15:22:12,04/11/2022 15:22:12,00:03:07,Arrêt et marche,2 955.220,0.370,0.010,0.020,14,188
11,PV728,SY5,se1,Fixe,04/11/2022 15:33:56,04/11/2022 15:33:56,00:03:41,Arrêt et marche,2 922.350,0.370,0.010,0.020,15,222
12,PV729,SY5,se2,Fixe,04/11/2022 15:37:18,04/11/2022 15:37:18,00:03:04,Arrêt et marche,2 922.480,0.370,0.010,0.010,15,185
13,PV730,SY5,se3,Fixe,04/11/2022 15:41:07,04/11/2022 15:41:07,00:03:34,Arrêt et marche,2 922.340,0.370,0.010,0.020,15,215
14,PV731,SY5,se4,Fixe,04/11/2022 15:44:20,04/11/2022 15:44:20,00:03:04,Arrêt et marche,2 923.020,0.370,0.010,0.020,15,185
15,PV732,SY5,se5,Fixe,04/11/2022 15:47:49,04/11/2022 15:47:49,00:03:06,Arrêt et marche,2 923.760,0.370,0.010,0.020,14,187
16,PV733,SY5,se6,Fixe,04/11/2022 15:51:06,04/11/2022 15:51:06,00:03:10,Arrêt et marche,2 924.780,0.370,0.010,0.020,14,191
17,PV734,SY5,se7,Fixe,04/11/2022 15:54:19,04/11/2022 15:54:19,00:03:04,Arrêt et marche,2 926.070,0.370,0.020,0.020,15,185
18,PV735,SY5,se8,Fixe,04/11/2022 15:57:41,04/11/2022 15:57:41,00:03:03,Arrêt et marche,2 919.520,0.370,0.020,0.020,15,184
19,PV737,SY5,se9,Fixe,04/11/2022 16:04:42,04/11/2022 16:04:42,00:03:05,Arrêt et marche,2 905.760,0.370,0.040,0.060,13,186
20,PV739,SY5,se10,Fixe,04/11/2022 16:13:07,04/11/2022 16:13:07,00:03:03,Arrêt et marche,2 901.350,0.370,0.020,0.040,15,184
21,PV741,SY5,se11,Fixe,04/11/2022 16:19:34,04/11/2022 16:19:34,00:03:04,Arrêt et marche,2 894.990,0.370,0.020,0.040,16,185
22,PV744,SY5,se12,Fixe,04/11/2022 16:30:23,04/11/2022 16:30:23,00:03:04,Arrêt et marche,2 891.200,0.370,0.030,0.050,16,185
23,PV745,SY5,se13,Fixe,04/11/2022 16:33:52,04/11/2022 16:33:52,00:03:04,Arrêt et marche,2 889.760,0.370,0.040,0.060,16,185
